"date","cb_assets"
2004-01-01,329615
2004-02-01,331578
2004-03-01,387354
2004-04-01,400752
2004-05-01,374055
2004-06-01,402917
2004-07-01,385011
2004-08-01,391286
2004-09-01,422595
2004-10-01,386269
2004-11-01,353546
2004-12-01,395788
2005-01-01,352675
2005-02-01,356567
2005-03-01,372002
2005-04-01,356648
2005-05-01,377407
2005-06-01,396386
2005-07-01,371097
2005-08-01,375223
2005-09-01,386637
2005-10-01,365427
2005-11-01,378177
2005-12-01,392111
2006-01-01,374457
2006-02-01,355254
2006-03-01,341538
2006-04-01,323313
2006-05-01,344485
2006-06-01,357486
2006-07-01,334094
2006-08-01,344306
2006-09-01,355920
2006-10-01,357489
2006-11-01,356557
2006-12-01,366721
2007-01-01,375101
2007-02-01,371265
2007-03-01,351939
2007-04-01,341622
2007-05-01,322848
2007-06-01,328659
2007-07-01,329318
2007-08-01,383434
2007-09-01,384031
2007-10-01,381315
2007-11-01,390232
2007-12-01,424571
2008-01-01,415756
2008-02-01,425530
2008-03-01,433118
2008-04-01,431020
2008-05-01,425385
2008-06-01,423143
2008-07-01,414929
2008-08-01,444313
2008-09-01,499616
2008-10-01,514107
2008-11-01,642651
2008-12-01,652574
2009-01-01,602226
2009-02-01,578171
2009-03-01,557545
2009-04-01,569564
2009-05-01,592143
2009-06-01,609329
2009-07-01,588226
2009-08-01,546571
2009-09-01,559587
2009-10-01,518389
2009-11-01,483473
2009-12-01,547829
2010-01-01,478798
2010-02-01,469902
2010-03-01,483945
2010-04-01,447890
2010-05-01,484362
2010-06-01,531187
2010-07-01,471940
2010-08-01,471959
2010-09-01,484469
2010-10-01,466791
2010-11-01,464492
2010-12-01,476139
2011-01-01,472278
2011-02-01,486690
2011-03-01,502234
2011-04-01,495378
2011-05-01,495046
2011-06-01,513907
2011-07-01,500453
2011-08-01,517847
2011-09-01,539471
2011-10-01,537320
2011-11-01,511983
2011-12-01,560095
2012-01-01,533711
2012-02-01,540234
2012-03-01,549649
2012-04-01,542872
2012-05-01,563777
2012-06-01,576250
2012-07-01,577482
2012-08-01,584654
2012-09-01,610822
2012-10-01,609843
2012-11-01,608379
2012-12-01,626643
2013-01-01,593035
2013-02-01,579197
2013-03-01,578061
2013-04-01,583637
2013-05-01,548394
2013-06-01,555611
2013-07-01,551697
2013-08-01,551740
2013-09-01,556453
2013-10-01,549641
2013-11-01,546826
2013-12-01,555928
2014-01-01,533213
2014-02-01,531741
2014-03-01,518004
2014-04-01,486355
2014-05-01,488550
2014-06-01,492575
2014-07-01,487434
2014-08-01,488350
2014-09-01,504456
2014-10-01,491438
2014-11-01,501042
2014-12-01,526438
2015-01-01,606981
2015-02-01,779229
2015-03-01,787745
2015-04-01,746906
2015-05-01,700521
2015-06-01,671345
2015-07-01,623594
2015-08-01,578096
2015-09-01,555017
2015-10-01,534884
2015-11-01,527833
2015-12-01,479065
2016-01-01,469741
2016-02-01,462114
2016-03-01,459446
2016-04-01,445371
2016-05-01,467719
2016-06-01,493674
2016-07-01,490410
2016-08-01,491739
2016-09-01,491717
2016-10-01,492377
2016-11-01,492362
2016-12-01,493138
2017-01-01,496714
2017-02-01,504241
2017-03-01,503127
2017-04-01,503072
2017-05-01,505117
2017-06-01,505255
2017-07-01,505767
2017-08-01,506537
2017-09-01,503934
2017-10-01,504320
2017-11-01,505193
2017-12-01,508423
2018-01-01,503983
2018-02-01,505600
2018-03-01,511445
2018-04-01,505154
2018-05-01,506414
2018-06-01,506168
2018-07-01,507155
2018-08-01,507942
2018-09-01,509276
2018-10-01,508489
2018-11-01,509156
2018-12-01,495924
2019-01-01,492627
2019-02-01,493303
2019-03-01,492253
2019-04-01,490907
2019-05-01,490082
2019-06-01,488814
2019-07-01,488410
2019-08-01,487463
2019-09-01,486469
2019-10-01,484201
2019-11-01,481565
2019-12-01,474419
2020-01-01,465011
2020-02-01,466361
2020-03-01,515180
2020-04-01,545805
2020-05-01,537725
2020-06-01,510650
2020-07-01,497218
2020-08-01,497144
2020-09-01,502809
2020-10-01,500481
2020-11-01,517053
2020-12-01,480066
2021-01-01,475283
2021-02-01,493266
2021-03-01,503423
2021-04-01,482345
2021-05-01,501864
2021-06-01,499337
2021-07-01,498225
2021-08-01,523941
2021-09-01,542663
2021-10-01,532759
2021-11-01,523611
2021-12-01,570687
2022-01-01,568884
2022-02-01,574129
2022-03-01,584658
2022-04-01,600519
2022-05-01,574168
2022-06-01,580844
2022-07-01,575588
2022-08-01,575179
2022-09-01,596690
2022-10-01,610714
2022-11-01,625861
2022-12-01,632853
2023-01-01,645809
2023-02-01,648413
2023-03-01,639934
2023-04-01,644941
2023-05-01,643120
2023-06-01,648275
2023-07-01,647272
2023-08-01,648295
2023-09-01,649443
2023-10-01,651613
2023-11-01,663306
2023-12-01,656149
2024-01-01,670250
2024-02-01,676561
2024-03-01,677365
2024-04-01,678332
2024-05-01,679615
2024-06-01,680361
2024-07-01,679660
2024-08-01,678792
2024-09-01,682377
2024-10-01,692561
2024-11-01,679758
2024-12-01,674020
2025-01-01,697814
2025-02-01,702779
2025-03-01,749548
2025-04-01,707266
2025-05-01,736551
2025-06-01,732320
2025-07-01,724376
2025-08-01,723098
2025-09-01,724608
2025-10-01,720262
2025-11-01,706725
2025-12-01,697987
2026-01-01,721860
