"date","cb_assets"
2009-05-01,487726
2009-06-01,496469
2009-07-01,438618
2009-08-01,377077
2009-09-01,387010
2009-10-01,351769
2009-11-01,385644
2009-12-01,376381
2010-01-01,354319
2010-02-01,365447
2010-03-01,400712
2010-04-01,431189
2010-05-01,492766
2010-06-01,459487
2010-07-01,443995
2010-08-01,437597
2010-09-01,434790
2010-10-01,400637
2010-11-01,427135
2010-12-01,394658
2011-01-01,389364
2011-02-01,390242
2011-03-01,399090
2011-04-01,407027
2011-05-01,423682
2011-06-01,365634
2011-07-01,362342
2011-08-01,344833
2011-09-01,369587
2011-10-01,323953
2011-11-01,316382
2011-12-01,340212
2012-01-01,351153
2012-02-01,332251
2012-03-01,336676
2012-04-01,361419
2012-05-01,403202
2012-06-01,384176
2012-07-01,354857
2012-08-01,335334
2012-09-01,351876
2012-10-01,333903
2012-11-01,337677
2012-12-01,323142
2013-01-01,320844
2013-02-01,359743
2013-03-01,396939
2013-04-01,397090
2013-05-01,402667
2013-06-01,384118
2013-07-01,376136
2013-08-01,377911
2013-09-01,398207
2013-10-01,378787
2013-11-01,391940
2013-12-01,379644
2014-01-01,401408
2014-02-01,395845
2014-03-01,402690
2014-04-01,407121
2014-05-01,446224
2014-06-01,425498
2014-07-01,428881
2014-08-01,414993
2014-09-01,459502
2014-10-01,478655
2014-11-01,493948
2014-12-01,513708
2015-01-01,548813
2015-02-01,599057
2015-03-01,562425
2015-04-01,581047
2015-05-01,573138
2015-06-01,547806
2015-07-01,559026
2015-08-01,564651
2015-09-01,554997
2015-10-01,558991
2015-11-01,575444
2015-12-01,541894
2016-01-01,555782
2016-02-01,579897
2016-03-01,601715
2016-04-01,581897
2016-05-01,654004
2016-06-01,587387
2016-07-01,599057
2016-08-01,591966
2016-09-01,580078
2016-10-01,575462
2016-11-01,602866
2016-12-01,574611
2017-01-01,563618
2017-02-01,568644
2017-03-01,615033
2017-04-01,615318
2017-05-01,621492
2017-06-01,594301
2017-07-01,565222
2017-08-01,554289
2017-09-01,571745
2017-10-01,585999
2017-11-01,602207
2017-12-01,595970
2018-01-01,586909
2018-02-01,586786
2018-03-01,577429
2018-04-01,597246
2018-05-01,646282
2018-06-01,589392
2018-07-01,590515
2018-08-01,615537
2018-09-01,606293
2018-10-01,587991
2018-11-01,632565
2018-12-01,599693
2019-01-01,603280
2019-02-01,619020
2019-03-01,637244
2019-04-01,649000
2019-05-01,641658
2019-06-01,639719
2019-07-01,642252
2019-08-01,668276
2019-09-01,670613
2019-10-01,677248
2019-11-01,684457
2019-12-01,643107
2020-01-01,675195
2020-02-01,684686
2020-03-01,1015866
2020-04-01,1095442
2020-05-01,1070121
2020-06-01,941794
2020-07-01,817712
2020-08-01,829055
2020-09-01,831679
2020-10-01,850531
2020-11-01,836023
2020-12-01,771002
2021-01-01,786755
2021-02-01,773026
2021-03-01,719865
2021-04-01,746875
2021-05-01,730931
2021-06-01,747680
2021-07-01,771896
2021-08-01,833830
2021-09-01,841291
2021-10-01,853721
2021-11-01,899396
2021-12-01,831928
2022-01-01,820838
2022-02-01,912559
2022-03-01,866208
2022-04-01,818186
2022-05-01,882464
2022-06-01,820697
2022-07-01,865777
2022-08-01,844295
2022-09-01,1009435
2022-10-01,1021464
2022-11-01,974735
2022-12-01,770671
2023-01-01,876781
2023-02-01,910114
2023-03-01,945383
2023-04-01,942391
2023-05-01,1026652
2023-06-01,958166
2023-07-01,910314
2023-08-01,939465
2023-09-01,920937
2023-10-01,953769
2023-11-01,914239
2023-12-01,872235
2024-01-01,891936
2024-02-01,925216
2024-03-01,952081
2024-04-01,954352
2024-05-01,929497
2024-06-01,942499
2024-07-01,1011303
2024-08-01,983424
2024-09-01,1032363
2024-10-01,1016046
2024-11-01,1004263
2024-12-01,980788
2025-01-01,1019629
2025-02-01,1039936
2025-03-01,988746
2025-04-01,1007036
2025-05-01,993434
2025-06-01,1002702
2025-07-01,990541
2025-08-01,973171
2025-09-01,960978
2025-10-01,941455
2025-11-01,938279
