event_id,date,country,central_bank,event_type,direction,program_name,surprise,tier,alpha,beta,sigma,r_sq,n_est,reliable,car_m1_0,t_m1_0,car_d0,t_d0,car_d0_p1,t_d0_p1,car_m1_p1,t_m1_p1,car_d0_p5,t_d0_p5,car_d0_p10,t_d0_p10
1,2008-11-25,US,Fed,initiation,1,QE1,high,1,-7.341477591043376e-19,0.9999999999999997,8.185837125514747e-18,1,201,TRUE,3.122502256758253e-17,2.6972715021925353,3.469446951953614e-18,0.42383532664479273,1.734723475976807e-17,1.4984841678847418,4.5102810375396984e-17,3.1811187190957733,1.3877787807814457e-17,0.6921201901637185,2.7755575615628914e-17,1.0223292737298169
2,2009-03-18,US,Fed,expansion,1,QE1,high,1,-1.4682955182086752e-18,0.9999999999999994,9.861108340785171e-18,1,201,TRUE,3.122502256758253e-17,2.2390409310199866,1.0408340855860843e-17,1.0554940171189822,5.204170427930421e-18,0.3731734885033311,2.6020852139652106e-17,1.5234743872792096,3.2959746043559335e-17,1.3645281555982565,3.469446951953614e-17,1.0608114009844314
3,2010-11-03,US,Fed,initiation,1,QE2,medium,1,-2.4471591970144587e-19,1.0000000000000009,1.0605055088245963e-17,1,201,TRUE,-9.974659986866641e-18,-0.665074312019447,-3.0357660829594124e-18,-0.28625651236117405,-2.0383000842727483e-17,-1.3590648984745222,-2.7321894746634712e-17,-1.4874324702210655,-1.8214596497756474e-17,-0.7011823908335819,1.089623183347932e-17,0.30978976380657003
4,2012-09-13,US,Fed,initiation,1,QE3,medium,1,3.670738795521688e-19,0.9999999999999991,7.702489764979614e-18,1,201,TRUE,1.5178830414797062e-17,1.3934525386301535,1.3877787807814457e-17,1.801727523340784,1.734723475976807e-17,1.5925171870058896,1.8648277366750676e-17,1.3978062011283705,1.2685165418080402e-17,0.6723406657063367,4.445228907190568e-18,0.17400697510261715
5,2012-12-12,US,Fed,expansion,1,QE3,low,2,1.5294744981340365e-19,0.9999999999999993,6.818581077503125e-18,1,201,TRUE,4.4994390158148434e-18,0.4666049730075301,1.6263032587282567e-19,0.02385105112402341,-4.174178364069192e-18,-0.43287449303108216,1.6263032587282567e-19,0.013770410786910442,3.63207727782644e-18,0.21746303558632224,-6.1257422745431e-18,-0.27087465394056415
6,2013-05-22,US,Fed,tapering,-1,taper_tantrum,high,1,4.894318394028917e-19,0.9999999999999993,3.322333557088288e-18,1,201,TRUE,-4.553649124439119e-18,-0.969173058546547,-5.204170427930421e-18,-1.5664202099235893,-7.37257477290143e-18,-1.5691373328848857,-6.7220534694101275e-18,-1.1681486260736287,-7.806255641895632e-18,-0.9592325592740261,-2.2551405187698492e-17,-2.0466050092273247
7,2013-12-18,US,Fed,tapering,-1,QE3_taper,medium,1,-3.670738795521688e-19,1.0000000000000004,4.229259317551462e-18,1,201,TRUE,-5.204170427930421e-18,-0.870106069109658,-6.938893903907228e-18,-1.6406877381840268,-6.396792817664476e-18,-1.0695053766139546,-4.662069341687669e-18,-0.6364346064649475,-1.3335686721571705e-17,-1.28728718138647,-1.0055975149803054e-17,-0.7169081772486522
8,2014-10-29,US,Fed,end,-1,QE3_end,low,2,-0,1,2.801677489385423e-19,1,201,TRUE,0,0,0,0,0,0,0,0,0,0,0,0
9,2020-03-15,US,Fed,initiation,1,COVID_QE,high,1,-2.4471591970144587e-19,1.0000000000000004,4.363274437252952e-18,1,201,TRUE,1.3877787807814457e-17,2.2490168812190854,5.551115123125783e-17,12.722360701704284,2.7755575615628914e-17,4.498033762438171,-1.3877787807814457e-17,-1.8363145939641212,8.153200337090993e-17,7.628514197980129,6.938893903907228e-18,0.4794920101717699
10,2020-03-23,US,Fed,expansion,1,COVID_QE,high,1,-0,1,1.937686318287356e-18,1,201,TRUE,0,0,0,0,0,0,0,0,0,0,0,0
