"h","beta","se","ci90_lo","ci90_hi","ci68_lo","ci68_hi","n"
0,-0.0122590011997454,0.437149498179494,-0.731305938800302,0.706787936400812,-0.446985765805531,0.42246776340604,244
1,0.12767278094556,0.605560725659352,-0.868385974994591,1.12373153688571,-0.474531856448602,0.729877418339721,243
2,0.457193756752524,0.688275247966643,-0.674918281206333,1.58930579471138,-0.227266989406052,1.1416545029111,242
3,0.425198870350992,0.766798667536753,-0.836072699088392,1.68647043979038,-0.337350109415667,1.18774785011765,241
4,0.434551278899018,0.997683353480802,-1.20649180362299,2.07559436142102,-0.557602796917108,1.42670535471514,240
5,0.0443950069971831,1.00493278634932,-1.60857233147194,1.69736234546631,-0.954968324483839,1.04375833847821,239
6,-0.0129991387755884,0.986706664779955,-1.63598717507609,1.60998889752491,-0.994237359981617,0.968239082430441,238
7,0.0431661438883677,1.13418983622392,-1.82241012187604,1.90874240965277,-1.08473787980089,1.17107016757762,237
8,0.235830327552907,1.32771036481193,-1.94805888154906,2.41971953665488,-1.08452171135362,1.55618236645943,236
9,0.372532312978236,1.329897336892,-1.81495414508168,2.56001877103815,-0.949994577553675,1.69505920351015,235
10,0.491378610449965,1.33992321137389,-1.71259894361485,2.69535616451478,-0.841118589996531,1.82387581089646,234
11,0.288013625772452,1.28014731214807,-1.81764132364647,2.39366857519138,-0.98503896046297,1.56106621200787,233
12,0.332794989925055,1.39606745341311,-1.96353162429041,2.62912160414052,-1.05553529461418,1.72112527446429,232
13,0.607460045324811,1.2649048637704,-1.47312330759649,2.68804339824611,-0.650434567962024,1.86535465861165,231
14,0.391091721577344,1.38131606972026,-1.88097102566838,2.66315446882306,-0.98256893316028,1.76475237631497,230
15,0.115071929508963,1.52969845286294,-2.4010581188247,2.63120197784263,-1.40614875587435,1.63629261489228,229
16,-0.678194016170776,1.61952305785527,-3.34207239181556,1.98568435947401,-2.28874148809492,0.932353455753366,228
17,-0.752418700904998,1.47425047140652,-3.17734493583294,1.67250753402294,-2.21849870402091,0.713661302210915,227
18,-0.896570013656096,1.42045106452893,-3.23300409905358,1.43986407174139,-2.30914877249057,0.51600874517838,226
19,-1.45028790429038,1.60136910491975,-4.08430568460566,1.1837298760249,-3.04278203460637,0.142206226025612,225
20,-2.06441716949915,1.67880550450921,-4.82580649253721,0.696972153538909,-3.73391853783426,-0.394915801164047,224
21,-2.78701554956255,1.67495192416744,-5.54206629699871,-0.0319648021263812,-4.45268469454821,-1.12134640457689,223
22,-3.13989218270026,1.56027316821751,-5.7063131624779,-0.573471202922633,-4.69151813479482,-1.58826623060571,222
23,-3.18559618156212,1.54970282698639,-5.73463049722763,-0.636561865896613,-4.72671037449118,-1.64448198863307,221
24,-3.60421654139441,1.70648804393675,-6.41113958981309,-0.797293492975721,-5.3012470292905,-1.90718605349831,220
