"part","term","statistic","(1) Level CB/GDP","(2) Δ CB/GDP","(3) Level + trend","(4) Δ CAPE"
"estimates","(Intercept)","estimate","23.694***","29.770***","22.880***","1.608***"
"estimates","(Intercept)","std.error","(4.496)","(2.711)","(4.369)","(0.252)"
"estimates","CB/GDP ratio","estimate","0.948**","","-0.437",""
"estimates","CB/GDP ratio","std.error","(0.431)","","(0.404)",""
"estimates","Real 10Y rate","estimate","-0.420","-1.398**","-0.159","-0.018"
"estimates","Real 10Y rate","std.error","(0.928)","(0.624)","(0.927)","(0.055)"
"estimates","CPI inflation (YoY)","estimate","0.003","-0.788","0.061","-0.021"
"estimates","CPI inflation (YoY)","std.error","(0.824)","(0.513)","(0.867)","(0.083)"
"estimates","GDP growth (YoY)","estimate","0.390*","0.707***","0.371","-0.050"
"estimates","GDP growth (YoY)","std.error","(0.222)","(0.191)","(0.257)","(0.045)"
"estimates","VIX","estimate","-0.197***","-0.240***","-0.159***","-0.072***"
"estimates","VIX","std.error","(0.035)","(0.047)","(0.030)","(0.014)"
"estimates","Δ CB/GDP (YoY pp)","estimate","","1.286","","0.311***"
"estimates","Δ CB/GDP (YoY pp)","std.error","","(0.888)","","(0.093)"
"estimates","Time trend (years)","estimate","","","0.712***",""
"estimates","Time trend (years)","std.error","","","(0.168)",""
"gof","Num.Obs.","","213","213","213","213"
"gof","R2","","0.620","0.591","0.717","0.379"
"gof","R2 Adj.","","0.611","0.581","0.709","0.364"
