event_id,date,country,central_bank,event_type,direction,program_name,surprise,tier,est_mu_bp,est_sigma_bp,n_est,reliable,cayc_m1_0,t_m1_0,cayc_d0,t_d0,cayc_d0_p1,t_d0_p1,cayc_m1_p1,t_m1_p1,cayc_d0_p5,t_d0_p5,cayc_d0_p10,t_d0_p10
1,2008-11-25,US,Fed,initiation,1,QE1,high,1,-0.01492537313432826,8.434736280370776,201,TRUE,-8.970149253731375,-0.7519919004853679,-23.985074626865693,-2.843606940347796,-35.97014925373133,-3.0154750086018796,-20.955223880597014,-1.4343666175487981,-67.91044776119405,-3.2869224693678545,-65.8358208955224,-2.3533927107816113
2,2009-03-18,US,Fed,expansion,1,QE1,high,1,-0.5522388059701492,9.250324722013092,201,TRUE,-44.89552238805974,-3.4318717752646446,-50.44776119402987,-5.453620571176147,-39.89552238805971,-3.0496653109316454,-34.34328358208958,-2.1435035652088983,-17.686567164179102,-0.78056836121306,-27.925373134328346,-0.9102185117383365
3,2010-11-03,US,Fed,initiation,1,QE2,medium,1,-0.4975124378109453,5.961647740440098,201,TRUE,1.995024875621869,0.23662847581865548,4.497512437810949,0.7544076123959206,-9.004975124378117,-1.0680736689071606,-11.507462686567198,-1.1144295954810455,4.985074626865674,0.3413734395018874,32.4726368159204,1.6423091089294675
4,2012-09-13,US,Fed,initiation,1,QE3,medium,1,-0.308457711442786,5.149211406560497,201,TRUE,5.616915422885577,0.7713334472562856,-1.6915422885572156,-0.328505115638107,11.61691542288556,1.5952733386567082,18.925373134328353,2.121988866042145,4.850746268656719,0.38458488403292207,-7.606965174129362,-0.44542476832195277
5,2012-12-12,US,Fed,expansion,1,QE3,low,2,-0.1840796019900497,4.685183590173583,201,TRUE,9.368159203980108,1.4138803256851835,6.184079601990055,1.3199225778388202,8.368159203980106,1.2629562972928723,11.552238805970157,1.423570294738995,17.10447761194031,1.49041624729445,10.024875621890553,0.6451430706622703
6,2013-05-22,US,Fed,tapering,-1,taper_tantrum,high,1,0.059701492537313376,3.890554961756454,201,TRUE,5.880597014925357,1.0687961145784193,8.940298507462673,2.297949417331051,7.880597014925381,1.4322953007548413,4.8208955223880645,0.7154108745270686,18.641791044776113,1.9561423498766164,13.343283582089565,1.0340816190659612
7,2013-12-18,US,Fed,tapering,-1,QE3_taper,medium,1,0.34328358208955223,5.040492750136548,201,TRUE,-0.686567164179104,-0.0963152456707552,3.6567164179104514,0.7254680443318543,8.313432835820882,1.1662519964915345,3.9701492537313263,0.4547505281706194,12.940298507462678,1.048082996175444,12.223880597014897,0.7312060263679881
8,2014-10-29,US,Fed,end,-1,QE3_end,low,2,-0.16915422885572132,3.74048710478923,201,TRUE,7.338308457711426,1.3872438341633404,4.169154228855724,1.1146019521141082,2.3383084577114444,0.4420370183435742,5.507462686567146,0.850085824536089,7.014925373134333,0.7656305745973263,6.8606965174129595,0.5530236500632777
9,2020-03-15,US,Fed,initiation,1,COVID_QE,high,1,-0.4577114427860695,4.54086475644435,201,TRUE,-14.084577114427866,-2.193260650104732,-20.54228855721393,-4.5238714780175995,8.915422885572145,1.3883161727261322,15.373134328358207,1.9546240019964496,-15.253731343283583,-1.3713929126060918,-18.965174129353237,-1.2592788947914553
10,2020-03-23,US,Fed,expansion,1,COVID_QE,high,1,-0.5771144278606967,4.584241881908153,201,TRUE,-34.845771144278615,-5.374864962740112,-15.422885572139306,-3.364326309439775,-6.845771144278613,-1.0559414889677898,-26.268656716417922,-3.30833678003067,-18.537313432835827,-1.6508349065555818,-18.651741293532336,-1.226748444126318
11,2010-05-10,EA,ECB,initiation,1,SMP,high,1,-0.21651000048109134,3.194848768958811,201,TRUE,7.7324285794900725,1.7113964005814208,10.71331351277683,3.3533084936187003,8.107369074840435,1.7943809128311468,5.126484141553675,0.9264216284287353,2.0087756101255962,0.2566879586687099,-21.125718507567743,-1.9937231002217166
12,2012-07-26,EA,ECB,shock_speech,1,OMT_signal,high,1,-0.17967228957695802,5.2157204662037016,201,TRUE,0.916413432337123,0.12424019971447432,-1.6602808199887926,-0.31832243133943094,2.2693300067619897,0.3076580976548152,4.846024259087906,0.5364270245334479,-10.513205972860883,-0.8228965477589888,-1.9811883476368506,-0.11452890668287109
13,2012-09-06,EA,ECB,initiation,1,OMT,medium,1,-0.4616158630366982,4.809048755681704,201,TRUE,9.472482705599363,1.3928028381679662,7.030204157866589,1.461870011103688,6.357762011067006,0.9348245067975877,8.800040558799783,1.0564887244073007,6.983991983616276,0.592882903205355,14.97284183215857,0.9387473286958533
14,2015-01-22,EA,ECB,initiation,1,APP,high,1,-0.5864122666451249,2.879127472933191,201,TRUE,12.521917636894598,3.075352848301295,7.491897758215099,2.602141735177332,-11.226228223845636,-2.757134645428484,-6.196208345166139,-1.242523156639577,-9.58897229842818,-1.3596763550557398,-6.509818250506328,-0.6817287779437522
15,2016-03-10,EA,ECB,expansion,1,APP,high,1,-0.0070108567150893595,4.982071677109265,201,TRUE,3.2068999178898605,0.4551561730726119,-2.3317944517702696,-0.46803711445661916,2.542203099701379,0.3608155738127252,8.080897469361508,0.9364594954877664,-1.144747835497262,-0.09380462127857804,-5.71302484445096,-0.34574809719639443
16,2019-09-12,EA,ECB,restart,1,APP_restart,medium,2,-0.5310343281997953,2.6270093211170584,201,TRUE,1.0170874548925914,0.2737673713728979,0.058752709485729915,0.022364865253217698,8.948312254881479,2.4085990958383174,9.906647000288341,2.177230688298806,9.710159966971474,1.5089996730430726,4.711992589399637,0.5408124020916011
17,2020-03-18,EA,ECB,initiation,1,PEPP,high,1,-0.19431846716659862,3.0185808032438413,201,TRUE,21.8681427695643,5.122643073757523,18.137506057840657,6.008620355085292,25.445566128395836,5.960659506342843,29.17620284011948,5.580400082572637,13.078966230286326,1.7688662164720146,-0.04215029029082107,-0.004210187345745834
18,2020-06-04,EA,ECB,expansion,1,PEPP,medium,2,-0.06007426496686007,4.134182245125535,201,TRUE,8.539316375912524,1.4605569271225312,4.131124159502499,0.9992602924975933,8.743035870868624,1.4954009247506481,13.15122808727865,1.8366062805569272,-4.926954260186358,-0.48653410388144386,-8.62041751540135,-0.628698378973238
25,2009-03-05,GB,BoE,initiation,1,APF,high,1,-0.398805970149254,6.734574044968558,201,TRUE,-20.592388059701513,-2.1621289098036507,-28.52119402985076,-4.235040529572783,-61.40238805970149,-6.447036544278655,-53.47358208955224,-4.584252368121476,-70.19716417910445,-4.255335538695427,-58.293134328358185,-2.609822268436804
26,2009-08-06,GB,BoE,expansion,1,APF,medium,2,-0.46701492537313427,8.18081084274512,201,TRUE,-8.52597014925371,-0.7369405581694626,-6.972985074626846,-0.8523586730783057,-1.995970149253698,-0.17252128850220716,-3.5489552238805637,-0.2504629789437622,-0.4679104477611681,-0.023350208684763875,-15.952835820895489,-0.5879565083028493
27,2011-10-06,GB,BoE,expansion,1,APF,medium,2,-0.4512437810945274,5.093602452613831,201,TRUE,14.63248756218903,2.031318949036188,4.381243781094517,0.8601463938054764,11.072487562189067,1.5371107409079101,21.32373134328358,2.4170048891142644,21.677462686567186,1.737431840375348,17.42368159203981,1.031379600819632
